BHK,Size,StayFloor,Bathrooms,Furnishing Status,Tenant Type,Area Type,Area Locality,Rent,,City,Point of Contact
3,1150,3,3,Semi-Furnished,Family,Carpet Area,"Benzer Tower, Thakur Complex",50000,,Mumbai,Contact Agent
3,1105,3,3,Unfurnished,Bachelors/Family,Carpet Area,"Hillcrest, Chakala MIDC",65000,,Mumbai,Contact Agent
3,1050,3,3,Furnished,Bachelors,Carpet Area,Khar,160000,,Mumbai,Contact Agent
1,410,1,1,Semi-Furnished,Bachelors,Carpet Area,Friends Colony,25000,,Mumbai,Contact Agent
1,460,2,2,Unfurnished,Bachelors/Family,Carpet Area,Chembur,32000,,Mumbai,Contact Agent
1,600,1,1,Semi-Furnished,Bachelors/Family,Super Area,Reay road east,21000,,Mumbai,Contact Owner
1,570,2,2,Furnished,Bachelors/Family,Super Area,"Leo Ratnakar, Mahavir Nagar",20000,,Mumbai,Contact Owner
2,720,2,2,Furnished,Bachelors/Family,Carpet Area,Chembur East,55000,,Mumbai,Contact Agent
1,500,2,2,Semi-Furnished,Bachelors,Carpet Area,Chirag Nagar,32000,,Mumbai,Contact Owner
4,1460,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Insignia, Bandra East",150000,,Mumbai,Contact Agent
1,415,2,2,Unfurnished,Bachelors,Carpet Area,"Ekta Meadows, Borivali East",30000,,Mumbai,Contact Agent
3,1400,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,150000,,Mumbai,Contact Agent
1,270,1,1,Unfurnished,Bachelors/Family,Carpet Area,Mumbai Central,27000,,Mumbai,Contact Agent
2,585,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Gokuldham,47000,,Mumbai,Contact Agent
4,1755,4,4,Unfurnished,Family,Carpet Area,"Ekta Legranz, Chembur",150000,,Mumbai,Contact Agent
1,550,2,2,Furnished,Family,Carpet Area,Borivali West,27000,,Mumbai,Contact Owner
3,1300,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Lodha Primero, Mahalakshmi",160000,,Mumbai,Contact Agent
2,1200,2,2,Furnished,Bachelors/Family,Super Area,Mount Mary,100000,,Mumbai,Contact Agent
2,600,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Raheja Vista, Powai",45002,,Mumbai,Contact Agent
2,700,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Sundew CHS, Chandivali",48000,,Mumbai,Contact Agent
1,385,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Garden View Apartment, Aarey Milk Colony",18000,,Mumbai,Contact Agent
1,500,1,1,Semi-Furnished,Bachelors,Carpet Area,Suram Park Society,7500,,Mumbai,Contact Owner
2,850,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Film City,50000,,Mumbai,Contact Agent
3,900,2,2,Semi-Furnished,Family,Carpet Area,Chikuwadi,55000,,Mumbai,Contact Agent
1,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Dheeraj Kiran CHS Walad West, Sunder Nagar",26000,,Mumbai,Contact Agent
2,600,2,2,Unfurnished,Bachelors,Carpet Area,"DB Ozone, Mira Road",17000,,Mumbai,Contact Owner
2,750,2,2,Semi-Furnished,Family,Carpet Area,"Vasant Marvel, Magathane",40000,,Mumbai,Contact Agent
2,628,2,2,Unfurnished,Bachelors/Family,Carpet Area,Andheri East,43000,,Mumbai,Contact Agent
3,1330,4,4,Unfurnished,Bachelors,Carpet Area,"Lodha Altia, Wadala East",140000,,Mumbai,Contact Agent
3,1064,3,3,Unfurnished,Bachelors/Family,Carpet Area,"Rustomjee Seasons, Bandra East",140000,,Mumbai,Contact Agent
3,1200,3,3,Furnished,Family,Carpet Area,"Stellar Tower, Lokhandwala Complex",120000,,Mumbai,Contact Agent
4,2200,4,4,Furnished,Bachelors/Family,Carpet Area,Juhu,400000,,Mumbai,Contact Agent
2,630,2,2,Semi-Furnished,Family,Carpet Area,Beverly Park,21000,,Mumbai,Contact Agent
2,650,2,2,Unfurnished,Bachelors/Family,Carpet Area,Sindhi Society Chembur,40000,,Mumbai,Contact Agent
2,845,2,2,Furnished,Bachelors/Family,Super Area,Vikhroli West,40000,,Mumbai,Contact Owner
3,1915,3,3,Semi-Furnished,Bachelors/Family,Super Area,"Ashok tower, Parel",230000,,Mumbai,Contact Agent
2,900,2,2,Semi-Furnished,Bachelors/Family,Super Area,Mira Road,20000,,Mumbai,Contact Owner
2,807,2,2,Unfurnished,Bachelors,Carpet Area,"Auris Serenity, Malad West",60000,,Mumbai,Contact Agent
2,1100,2,2,Semi-Furnished,Bachelors/Family,Super Area,Mulund East,35000,,Mumbai,Contact Owner
3,1600,5,5,Semi-Furnished,Bachelors/Family,Super Area,"Chaitanya Towers, Prabhadevi",300000,,Mumbai,Contact Owner
2,790,2,2,Unfurnished,Bachelors/Family,Super Area,"Deep Heights, Nalasopara",6500,,Mumbai,Contact Owner
1,380,1,1,Unfurnished,Bachelors/Family,Carpet Area,sra,15000,,Mumbai,Contact Owner
2,650,2,2,Unfurnished,Family,Carpet Area,"Ahimsa Marg, Mindspace",38000,,Mumbai,Contact Agent
2,800,2,2,Semi-Furnished,Family,Carpet Area,Borivali East,35000,,Mumbai,Contact Agent
2,830,2,2,Semi-Furnished,Bachelors/Family,Super Area,Bhandup West,32000,,Mumbai,Contact Owner
1,410,1,1,Unfurnished,Bachelors,Carpet Area,Mamletdarwadi,16000,,Mumbai,Contact Owner
1,428,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Crescent Solitaire, Sakinaka Junction",33000,,Mumbai,Contact Agent
1,550,1,1,Semi-Furnished,Bachelors/Family,Super Area,Thane-Kalyan-Dombivli,8500,,Mumbai,Contact Owner
2,630,2,2,Unfurnished,Bachelors,Carpet Area,Central Area,60000,,Mumbai,Contact Agent
1,550,2,2,Unfurnished,Bachelors,Super Area,Rock garden Chs,20000,,Mumbai,Contact Owner
1,450,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Juveria Apartment, Mazgaon",38000,,Mumbai,Contact Agent
2,750,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Lodha NCP Commercial , Wadala",100000,,Mumbai,Contact Agent
2,800,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Kabra Centroid, Santacruz East",65000,,Mumbai,Contact Agent
3,1050,3,3,Furnished,Family,Carpet Area,"HDIL Metropolis, Andheri West",80000,,Mumbai,Contact Agent
2,850,2,2,Furnished,Bachelors,Carpet Area,Bandra West,85000,,Mumbai,Contact Agent
4,2500,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Mount Marry, Bandra West",600000,,Mumbai,Contact Agent
3,2000,3,3,Furnished,Bachelors/Family,Carpet Area,"Saraswati Sadan, Parel",150000,,Mumbai,Contact Agent
3,1330,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Oberoi Esquire, Goregaon East",130000,,Mumbai,Contact Agent
3,950,3,3,Unfurnished,Bachelors/Family,Carpet Area,Srishti Complex,55000,,Mumbai,Contact Agent
1,435,2,2,Semi-Furnished,Bachelors,Carpet Area,Kandivali West,23000,,Mumbai,Contact Agent
3,1300,4,4,Semi-Furnished,Bachelors,Carpet Area,"Bharat Ark, Andheri West",95000,,Mumbai,Contact Agent
2,650,2,2,Unfurnished,Bachelors/Family,Super Area,Andheri West,40000,,Mumbai,Contact Owner
3,1550,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Lower Parel,180000,,Mumbai,Contact Agent
1,380,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Irla,25000,,Mumbai,Contact Agent
4,1454,4,4,Unfurnished,Bachelors/Family,Carpet Area,Central Avenue Road,140000,,Mumbai,Contact Agent
2,860,2,2,Semi-Furnished,Family,Carpet Area,"K Raheja Maple Leaf, Powai",55000,,Mumbai,Contact Agent
2,680,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Trans Residency, Andheri East",46000,,Mumbai,Contact Agent
1,433,2,2,Unfurnished,Bachelors,Carpet Area,"Highway Park Apartment, Kandivali East",22000,,Mumbai,Contact Agent
2,710,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",55100,,Mumbai,Contact Agent
2,700,2,2,Furnished,Bachelors,Carpet Area,Mahim,65000,,Mumbai,Contact Agent
1,550,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Supreme Divine Light CHS, Chakala",33000,,Mumbai,Contact Agent
4,2700,5,5,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,320000,,Mumbai,Contact Agent
1,350,1,1,Unfurnished,Bachelors/Family,Super Area,Andheri West,33000,,Mumbai,Contact Owner
1,490,1,1,Semi-Furnished,Bachelors/Family,Super Area,Bhandup East,25000,,Mumbai,Contact Owner
3,1225,3,3,Furnished,Bachelors/Family,Carpet Area,"Mount Marry, Mount Mary",300000,,Mumbai,Contact Agent
3,1286,5,5,Unfurnished,Bachelors/Family,Carpet Area,"Lodha Bel Air, Jogeshwari West",100000,,Mumbai,Contact Agent
1,425,2,2,Unfurnished,Bachelors/Family,Carpet Area,Collector Colony,33000,,Mumbai,Contact Agent
2,550,2,2,Semi-Furnished,Bachelors,Carpet Area,90 ft road,35000,,Mumbai,Contact Agent
3,1224,3,3,Unfurnished,Family,Carpet Area,Mumbai Central,130000,,Mumbai,Contact Agent
3,950,3,3,Unfurnished,Bachelors/Family,Carpet Area,Byculla West,80000,,Mumbai,Contact Agent
1,425,2,2,Semi-Furnished,Bachelors,Carpet Area,"Nicon Infinity, Vasai East",10000,,Mumbai,Contact Owner
3,1000,3,3,Furnished,Bachelors/Family,Carpet Area,"Rustomjee Central Park, Chakala",92500,,Mumbai,Contact Agent
2,710,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",57000,,Mumbai,Contact Agent
3,1300,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,170000,,Mumbai,Contact Agent
1,433,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Altavista, Sion Trombay Road",29999,,Mumbai,Contact Agent
2,650,2,2,Furnished,Bachelors,Carpet Area,Kings Circle,42000,,Mumbai,Contact Agent
3,1650,4,4,Furnished,Bachelors,Carpet Area,buena vista,330000,,Mumbai,Contact Agent
2,600,1,1,Semi-Furnished,Bachelors/Family,Super Area,Mulund West,24000,,Mumbai,Contact Owner
2,850,2,2,Semi-Furnished,Family,Super Area,Malad West,35000,,Mumbai,Contact Owner
1,305,1,1,Unfurnished,Bachelors,Carpet Area,Kandivali West,14000,,Mumbai,Contact Agent
2,490,2,2,Furnished,Bachelors/Family,Carpet Area,Gandhi Market,45000,,Mumbai,Contact Agent
2,690,2,2,Semi-Furnished,Bachelors,Carpet Area,Mulund West,36000,,Mumbai,Contact Agent
2,635,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Nahar Jonquille and Jamaica, Chandivali",53500,,Mumbai,Contact Agent
3,1100,2,2,Furnished,Bachelors/Family,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",80000,,Mumbai,Contact Agent
1,250,1,1,Unfurnished,Bachelors/Family,Super Area,Chinmay Gaurang Infrastructure Old Panvel,7500,,Mumbai,Contact Owner
3,1200,3,3,Furnished,Bachelors/Family,Carpet Area,Worli Sea Face,140000,,Mumbai,Contact Agent
2,750,2,2,Unfurnished,Bachelors,Carpet Area,"Queens Palace, Bandra West",95000,,Mumbai,Contact Agent
3,1100,3,3,Furnished,Bachelors/Family,Carpet Area,Khar West,130000,,Mumbai,Contact Agent
2,700,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Bindra Complex , Andheri East",45000,,Mumbai,Contact Agent
2,1150,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Ivory Tower, Prabhadevi",110000,,Mumbai,Contact Agent
3,1379,3,3,Unfurnished,Bachelors/Family,Carpet Area,Parmanand Wadi,120000,,Mumbai,Contact Agent
1,500,1,1,Furnished,Bachelors/Family,Carpet Area,"Vaibhav Apartments, Dadar West",60000,,Mumbai,Contact Agent
3,1400,3,3,Unfurnished,Bachelors/Family,Super Area,"Avarsekar Heights, Worli",120000,,Mumbai,Contact Agent
1,390,1,1,Unfurnished,Bachelors/Family,Carpet Area,Parel,40000,,Mumbai,Contact Agent
2,935,2,2,Furnished,Bachelors/Family,Super Area,Andheri West,50000,,Mumbai,Contact Owner
2,535,2,2,Unfurnished,Bachelors/Family,Carpet Area,Ghatkopar West,36000,,Mumbai,Contact Agent
3,1250,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,150000,,Mumbai,Contact Agent
4,3700,4,4,Furnished,Bachelors/Family,Carpet Area,"Lake Superior, Powai",230000,,Mumbai,Contact Agent
1,350,2,2,Unfurnished,Bachelors,Carpet Area,Lower Parel,25000,,Mumbai,Contact Agent
3,1350,4,4,Semi-Furnished,Family,Carpet Area,"Lodha Marquise, Worli",190000,,Mumbai,Contact Agent
3,1550,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,"Lovedale Residences, Malad West",61000,,Mumbai,Contact Owner
3,1100,3,3,Furnished,Bachelors/Family,Carpet Area,"Kohinoor City Phase II, Holly Cross Church Chowk",70000,,Mumbai,Contact Agent
3,950,3,3,Unfurnished,Bachelors/Family,Carpet Area,Mulund East,42000,,Mumbai,Contact Agent
1,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,Govandi Station Road,27000,,Mumbai,Contact Agent
2,700,2,2,Furnished,Bachelors,Carpet Area,Irla,60000,,Mumbai,Contact Agent
3,850,2,2,Furnished,Bachelors/Family,Super Area,Sion East,85000,,Mumbai,Contact Owner
2,900,2,2,Furnished,Bachelors/Family,Carpet Area,"Marine Palace, Marine Lines",75000,,Mumbai,Contact Agent
3,1208,3,3,Unfurnished,Bachelors,Carpet Area,Khar West,200000,,Mumbai,Contact Agent
3,1150,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,170000,,Mumbai,Contact Agent
3,1600,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Island City Centre, Dadar TT Circle",180000,,Mumbai,Contact Agent
2,700,2,2,Furnished,Bachelors/Family,Carpet Area,"Shiv Bhagtani Manor 3A, Powai",55000,,Mumbai,Contact Agent
5,3200,5,5,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra East,600000,,Mumbai,Contact Agent
1,330,1,1,Unfurnished,Bachelors/Family,Super Area,Antop Hill,18000,,Mumbai,Contact Owner
1,225,1,1,Unfurnished,Bachelors/Family,Super Area,Worli,19000,,Mumbai,Contact Owner
3,1050,3,3,Furnished,Bachelors/Family,Carpet Area,JVPD Scheme,150000,,Mumbai,Contact Agent
1,225,1,1,Semi-Furnished,Bachelors,Carpet Area,Lower Parel,18500,,Mumbai,Contact Agent
1,463,2,2,Furnished,Bachelors/Family,Carpet Area,Rambaug,35000,,Mumbai,Contact Agent
4,1900,3,3,Furnished,Bachelors/Family,Carpet Area,"Dheeraj Insignia Apartment, Bandra Kurla Complex",200000,,Mumbai,Contact Agent
2,1500,4,4,Furnished,Bachelors/Family,Super Area,Agripada,150000,,Mumbai,Contact Owner
2,1000,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Lake Primrose, Chandivali",70000,,Mumbai,Contact Agent
1,450,2,2,Semi-Furnished,Bachelors,Carpet Area,Borivali West,35000,,Mumbai,Contact Agent
2,700,2,2,Unfurnished,Bachelors,Carpet Area,Goregaon West,45000,,Mumbai,Contact Owner
1,355,1,1,Unfurnished,Bachelors/Family,Carpet Area,Chembur East,30000,,Mumbai,Contact Owner
3,1325,3,3,Furnished,Bachelors/Family,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",50000,,Mumbai,Contact Agent
2,950,2,2,Furnished,Bachelors/Family,Super Area,Ghatkopar East,50000,,Mumbai,Contact Owner
1,600,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Universal Neo Galaxy, Bhuleshwar",42000,,Mumbai,Contact Owner
2,905,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Navi Mumbai-Khargar-Panvel,19500,,Mumbai,Contact Owner
3,1500,3,3,Furnished,Bachelors/Family,Carpet Area,Walkeshwar,90000,,Mumbai,Contact Agent
1,455,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Sugee Sadan, Dadar West",60000,,Mumbai,Contact Agent
2,850,2,2,Semi-Furnished,Bachelors,Carpet Area,Mahim West,55000,,Mumbai,Contact Agent
3,1100,2,2,Unfurnished,Family,Super Area,"Hudco Living Point, Bhandup West",40000,,Mumbai,Contact Owner
1,430,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Sion East, Sion",40000,,Mumbai,Contact Agent
2,650,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Keshav Srishti, Bhandup West",36000,,Mumbai,Contact Agent
2,795,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Runwal Elina, Andheri East",45000,,Mumbai,Contact Agent
2,800,2,2,Furnished,Bachelors/Family,Carpet Area,Bandra West,100000,,Mumbai,Contact Agent
1,700,1,1,Furnished,Bachelors/Family,Super Area,"Llyod Estate, Wadala",42000,,Mumbai,Contact Agent
1,450,2,2,Furnished,Family,Carpet Area,Lokhandwala Complex,45000,,Mumbai,Contact Agent
2,575,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Sunglow, Chandivali",40000,,Mumbai,Contact Agent
2,650,3,3,Furnished,Bachelors,Carpet Area,Mahim West,50000,,Mumbai,Contact Agent
1,200,1,1,Furnished,Bachelors/Family,Super Area,Parle Colony,11000,,Mumbai,Contact Owner
2,1200,2,2,Semi-Furnished,Bachelors/Family,Super Area,Andheri East,50000,,Mumbai,Contact Owner
1,656,2,2,Unfurnished,Bachelors/Family,Super Area,Chembur,34000,,Mumbai,Contact Owner
3,1600,3,3,Semi-Furnished,Family,Carpet Area,"Godrej Platinum, Vikhroli East",93000,,Mumbai,Contact Agent
3,950,3,3,Unfurnished,Family,Carpet Area,Chembur East,69999,,Mumbai,Contact Agent
2,719,2,2,Semi-Furnished,Family,Carpet Area,"Raheja Heights Phase 2, Gokuldham",48000,,Mumbai,Contact Agent
3,1100,3,3,Unfurnished,Bachelors,Carpet Area,"Sakhi, Kandivali West",55000,,Mumbai,Contact Agent
4,3064,4,4,Semi-Furnished,Family,Carpet Area,"Raheja Artesia, Worli",1000000,,Mumbai,Contact Agent
2,650,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Rustomjee Regency, Gomant Nagar",40000,,Mumbai,Contact Agent
3,1450,5,5,Semi-Furnished,Bachelors/Family,Carpet Area,Santacruz East,130000,,Mumbai,Contact Agent
2,720,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Vikas Finalay Apartments, Parel",75000,,Mumbai,Contact Agent
2,670,2,2,Semi-Furnished,Bachelors/Family,Super Area,Bhandup West,23000,,Mumbai,Contact Owner
3,1350,3,3,Furnished,Bachelors,Carpet Area,anjali,200000,,Mumbai,Contact Agent
3,925,2,2,Unfurnished,Bachelors,Carpet Area,"Runwal Greens, Mulund West",55000,,Mumbai,Contact Agent
4,1450,4,4,Unfurnished,Bachelors/Family,Carpet Area,Best Nagar Goregaon West,80000,,Mumbai,Contact Agent
3,1550,3,3,Furnished,Bachelors/Family,Carpet Area,"Hiranandani Gardens Torino, Hiranandani Gardens",220000,,Mumbai,Contact Agent
1,420,2,2,Semi-Furnished,Family,Carpet Area,Chembur,40000,,Mumbai,Contact Agent
2,650,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Riddhi Garden, Film City Road",35000,,Mumbai,Contact Agent
2,700,2,2,Furnished,Family,Carpet Area,Dahisar West,33003,,Mumbai,Contact Agent
5,3400,5,5,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,450000,,Mumbai,Contact Agent
2,935,2,2,Semi-Furnished,Bachelors/Family,Super Area,in Matunga West,65000,,Mumbai,Contact Owner
2,980,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Aditi Apartment, Andheri West",45000,,Mumbai,Contact Owner
4,2800,4,4,Furnished,Family,Carpet Area,JVPD Scheme,280000,,Mumbai,Contact Agent
2,700,3,3,Furnished,Bachelors,Carpet Area,Andheri West,55000,,Mumbai,Contact Agent
2,720,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",56000,,Mumbai,Contact Agent
2,750,2,2,Semi-Furnished,Bachelors,Carpet Area,Santacruz East,55000,,Mumbai,Contact Agent
2,700,2,2,Furnished,Bachelors/Family,Carpet Area,"Usha Nagar Society, Bhandup West",28000,,Mumbai,Contact Agent
2,1000,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,"Smoky Hill Apartment, Bandra West",150000,,Mumbai,Contact Agent
5,3000,5,5,Furnished,Bachelors/Family,Carpet Area,Chandivali,300000,,Mumbai,Contact Agent
1,413,1,1,Furnished,Bachelors/Family,Carpet Area,Grant Road,50000,,Mumbai,Contact Owner
4,1755,4,4,Semi-Furnished,Family,Carpet Area,"Godrej The Trees, Vikhroli East",180000,,Mumbai,Contact Agent
3,1850,4,4,Semi-Furnished,Bachelors,Carpet Area,"Crescent Bay Callisto, Parel",190000,,Mumbai,Contact Agent
2,890,2,2,Unfurnished,Bachelors/Family,Carpet Area,new panvel,8000,,Mumbai,Contact Owner
3,1200,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Chembur,75000,,Mumbai,Contact Agent
3,1100,3,3,Furnished,Bachelors,Carpet Area,"Raheja Vista, Powai",83000,,Mumbai,Contact Agent
1,420,2,2,Semi-Furnished,Family,Carpet Area,Chembur,32000,,Mumbai,Contact Agent
2,630,2,2,Unfurnished,Family,Carpet Area,"Yashodham Complex, Goregaon East",39000,,Mumbai,Contact Agent
4,1705,3,3,Semi-Furnished,Family,Carpet Area,"Adani Western Heights, Andheri West",150000,,Mumbai,Contact Agent
3,1300,3,3,Furnished,Bachelors,Carpet Area,"Sunflower Apartment, Bandra West",190000,,Mumbai,Contact Agent
3,1355,3,3,Furnished,Bachelors/Family,Carpet Area,"Oberoi Exquisite II, Film City Road",160000,,Mumbai,Contact Agent
1,450,2,2,Semi-Furnished,Bachelors,Carpet Area,Goregaon West,25000,,Mumbai,Contact Agent
3,1350,3,3,Unfurnished,Family,Carpet Area,"Mahindra Vivante, Chakala",90000,,Mumbai,Contact Agent
2,825,2,2,Furnished,Bachelors,Carpet Area,"lokhandwala residency, Worli",95000,,Mumbai,Contact Agent
1,550,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Jumbo Darshan , Andheri East",30000,,Mumbai,Contact Owner
1,430,1,1,Unfurnished,Family,Carpet Area,"Gokul Accord, Thakur Complex",18500,,Mumbai,Contact Agent
1,320,1,1,Furnished,Bachelors/Family,Carpet Area,"spring grove uno, Lokhandwala Twp",18000,,Mumbai,Contact Agent
3,1100,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Chembur,75000,,Mumbai,Contact Agent
4,1460,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"Insignia, Bandra East",150000,,Mumbai,Contact Agent
3,1250,3,3,Furnished,Bachelors/Family,Carpet Area,"Panch Ritu, Chandivali",100000,,Mumbai,Contact Agent
2,1000,3,3,Furnished,Bachelors/Family,Carpet Area,Breach Candy,170000,,Mumbai,Contact Agent
2,710,2,2,Unfurnished,Bachelors/Family,Carpet Area,Saki Vihar Road,45000,,Mumbai,Contact Agent
3,1350,3,3,Furnished,Bachelors,Carpet Area,Anand niwas,200000,,Mumbai,Contact Agent
2,400,1,1,Furnished,Bachelors/Family,Carpet Area,Pant Nagar,20000,,Mumbai,Contact Owner
3,1000,4,4,Semi-Furnished,Bachelors/Family,Carpet Area,"DLH Orchid, Andheri West",85000,,Mumbai,Contact Agent
3,1500,3,3,Unfurnished,Family,Carpet Area,Central Avenue Road,130000,,Mumbai,Contact Agent
1,500,1,1,Semi-Furnished,Bachelors/Family,Super Area,"7 Bungalow, Seven Bungalows",40000,,Mumbai,Contact Agent
4,2000,4,4,Furnished,Bachelors,Carpet Area,"Imperial Heights, Goregaon West",250000,,Mumbai,Contact Agent
1,225,1,1,Unfurnished,Bachelors,Carpet Area,Shrikrupa Society,15000,,Mumbai,Contact Owner
2,650,2,2,Furnished,Bachelors/Family,Carpet Area,Mulund West,40000,,Mumbai,Contact Agent
2,670,2,2,Semi-Furnished,Family,Carpet Area,"Velentine Tower, Goregaon East",48000,,Mumbai,Contact Owner
2,610,1,1,Semi-Furnished,Bachelors,Carpet Area,"RNA Broadway Avenue, Mira Road",15000,,Mumbai,Contact Owner
1,400,2,2,Furnished,Bachelors/Family,Carpet Area,Chakala,28000,,Mumbai,Contact Agent
1,340,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Mahalaxmi CHS, Worli",25000,,Mumbai,Contact Agent
2,471,2,2,Semi-Furnished,Bachelors,Carpet Area,"Runwal Forests, Kanjurmarg West",34000,,Mumbai,Contact Agent
1,550,2,2,Furnished,Bachelors/Family,Carpet Area,Carter Road,75000,,Mumbai,Contact Agent
2,630,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,"Crescent Solitaire, Sakinaka Junction",45000,,Mumbai,Contact Agent
1,500,2,2,Semi-Furnished,Bachelors/Family,Super Area,Ghatkopar West,35000,,Mumbai,Contact Owner
1,400,1,1,Furnished,Bachelors/Family,Carpet Area,"Trans Residency, Andheri East",32000,,Mumbai,Contact Agent
2,1000,2,2,Unfurnished,Bachelors/Family,Super Area,"holy complex ,Mira Road, Mumbai",17000,,Mumbai,Contact Owner
4,1528,4,4,Unfurnished,Family,Carpet Area,"Lodha Marquise, Worli",230000,,Mumbai,Contact Agent
2,650,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Thakur Village, Kandivali East",35000,,Mumbai,Contact Agent
1,500,1,1,Unfurnished,Bachelors,Carpet Area,Thane-Kalyan-Dombivli,8500,,Mumbai,Contact Owner
3,850,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Oberoi Splendor, Agarkar Chowk",80000,,Mumbai,Contact Agent
1,550,1,1,Semi-Furnished,Bachelors,Carpet Area,"Paschim Apartments, Prabhadevi",55000,,Mumbai,Contact Agent
1,430,2,2,Unfurnished,Family,Carpet Area,"Godrej Tranquil, Kandivali East",25000,,Mumbai,Contact Agent
3,1030,3,3,Furnished,Family,Carpet Area,"Bhairav Residency, Mira Road",40000,,Mumbai,Contact Agent
1,250,1,1,Unfurnished,Bachelors/Family,Carpet Area,"MHADA Century Mill, Prabhadevi",15500,,Mumbai,Contact Agent
1,500,2,2,Unfurnished,Bachelors,Carpet Area,Mahim,45000,,Mumbai,Contact Agent
4,1750,4,4,Semi-Furnished,Bachelors,Carpet Area,Andheri West,180000,,Mumbai,Contact Agent
2,985,2,2,Unfurnished,Bachelors/Family,Carpet Area,"Chembur Heights, Sindhi Society Chembur",51000,,Mumbai,Contact Agent
3,1050,3,3,Unfurnished,Bachelors,Carpet Area,"Veena Signature, Borivali West",60000,,Mumbai,Contact Agent
2,700,2,2,Unfurnished,Bachelors/Family,Carpet Area,Borivali East,36000,,Mumbai,Contact Agent
3,1200,3,3,Semi-Furnished,Bachelors/Family,Carpet Area,Bandra West,180000,,Mumbai,Contact Agent
3,1000,3,3,Furnished,Bachelors/Family,Carpet Area,Chembur,75000,,Mumbai,Contact Agent
2,550,2,2,Unfurnished,Family,Carpet Area,"Nakoda Heights, Nalasopara",8000,,Mumbai,Contact Agent
3,806,2,2,Semi-Furnished,Bachelors/Family,Super Area,Wadala,50000,,Mumbai,Contact Owner
3,1400,3,3,Furnished,Bachelors/Family,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",100000,,Mumbai,Contact Agent
1,470,2,2,Semi-Furnished,Family,Carpet Area,"Kanungos Garden City, Mira Road East",16500,,Mumbai,Contact Agent
